pwr_out,irdnc,temp,prsure,hmdty,wnd_spd,wnd_deg,rain_1h,clouds
0.0,0.0,15.7,1020,93,1,50,0.0,75
0.0,0.0,15.3,1019,100,1,30,0.0,1
0.19,0.0,15.81,1018,93,2,50,0.0,75
1.37,0.0,15.56,1018,93,2,50,0.0,90
2.49,245.52,15.55,1018,93,2,70,0.0,90
2.26,168.41,15.01,1018,100,3,60,0.0,40
3.21,281.16,15.46,1019,100,2,360,0.3,75
3.21,281.16,15.46,1019,100,2,360,0.3,75
3.21,281.16,15.46,1019,100,2,360,0.3,75
4.81,336.31,15.9,1019,100,2,20,0.0,90
2.68,214.36,15.86,1019,100,2,360,0.0,40
4.22,336.96,17.38,1020,93,1,30,0.0,75
1.94,169.32,21.26,1020,78,4,60,0.0,40
0.69,71.35,22.22,1019,69,4,80,0.0,75
0.0,0.0,23.44,1018,64,5,70,0.0,90
0.0,0.0,23.66,1017,78,5,60,0.3,90
0.0,0.0,23.66,1017,78,5,60,0.3,90
0.0,0.0,22.49,1017,83,4,70,0.3,90
0.0,0.0,22.27,1018,94,2,80,0.3,90
0.0,0.0,22.27,1018,94,2,80,0.3,90
0.0,0.0,21.88,1017,83,6,120,0.3,75
0.0,0.0,21.88,1017,83,6,120,0.3,75
0.0,0.0,19.63,1018,88,4,80,3.0,75
0.0,0.0,19.63,1018,88,4,80,3.0,75
0.0,0.0,19.25,1018,88,5,70,0.9,75
0.0,0.0,19.25,1018,88,5,70,0.9,75
0.0,0.0,19.24,1019,88,3,50,0.9,90
0.0,0.0,19.28,1019,93,3,80,0.0,90
0.0,0.0,19.0,1019,93,3,80,0.3,75
0.0,0.0,19.0,1019,93,3,80,0.3,75
0.0,0.0,19.0,1018,93,3,60,0.9,90
0.0,0.0,19.0,1018,93,3,60,0.9,90
0.0,0.0,18.87,1018,100,3,30,3.0,90
0.0,0.0,18.87,1018,100,3,30,3.0,90
0.33,30.51,19.0,1018,93,2,350,0.0,90
1.03,95.13,18.85,1017,93,3,30,0.0,90
1.43,107.3,18.86,1017,100,4,20,0.3,90
1.43,107.3,18.86,1017,100,4,20,0.3,90
1.43,107.3,18.86,1017,100,4,20,0.3,90
3.81,353.16,19.0,1017,100,2,20,0.3,75
3.81,353.16,19.0,1017,100,2,20,0.3,75
3.04,280.95,19.0,1017,100,3,10,0.3,75
3.04,280.95,19.0,1017,100,3,10,0.3,75
3.24,306.6,19.0,1018,100,4,10,0.3,90
3.24,306.6,19.0,1018,100,4,10,0.3,90
3.24,290.82,19.15,1018,100,2,360,0.3,90
3.24,290.82,19.15,1018,100,2,360,0.3,90
3.24,290.82,19.15,1018,100,2,360,0.3,90
5.73,504.48,19.14,1019,100,4,360,3.0,90
5.73,504.48,19.14,1019,100,4,360,3.0,90
5.73,504.48,19.14,1019,100,4,360,3.0,90
2.05,210.07,20.37,1019,100,2,40,0.0,90
2.05,210.07,20.37,1019,100,2,40,0.0,90
0.52,61.17,21.57,1019,88,3,60,0.0,90
0.0,0.0,22.25,1017,83,2,60,0.0,75
0.0,0.0,23.13,1016,83,1,360,0.0,40
0.0,0.0,22.99,1016,78,4,80,0.0,40
0.0,0.0,22.99,1016,83,3,80,0.0,75
0.0,0.0,22.64,1016,83,4,90,0.0,40
0.0,0.0,20.13,1017,88,2,70,0.0,1
0.0,0.0,19.58,1017,94,3,80,0.0,1
0.0,0.0,19.0,1018,93,3,102,0.0,75
0.0,0.0,18.57,1018,100,1,20,0.0,75
0.0,0.0,18.58,1017,100,2,10,0.0,90
0.0,0.0,18.58,1017,100,2,10,0.0,90
0.0,0.0,19.18,1017,93,3,122,0.0,90
0.0,0.0,19.0,1017,93,1,50,0.0,90
0.34,36.32,18.67,1016,100,2,70,0.0,90
0.34,36.32,18.67,1016,100,2,70,0.0,90
2.01,209.37,18.59,1016,93,1,60,0.0,75
2.01,209.37,18.59,1016,93,1,60,0.0,75
6.06,558.8,17.73,1016,100,2,50,0.0,75
6.06,558.8,17.73,1016,100,2,50,0.0,75
3.95,396.18,17.71,1016,100,2,80,0.3,90
3.95,396.18,17.71,1016,100,2,80,0.3,90
3.95,396.18,17.71,1016,100,2,80,0.3,90
8.6,787.93,17.86,1016,100,2,350,0.3,75
8.6,787.93,17.86,1016,100,2,350,0.3,75
8.6,787.93,17.86,1016,100,2,350,0.3,75
2.13,235.7,18.25,1017,100,1,120,0.3,90
2.13,235.7,18.25,1017,100,1,120,0.3,90
2.13,235.7,18.25,1017,100,1,120,0.3,90
7.64,602.68,18.24,1017,100,3,110,0.0,75
7.64,602.68,18.24,1017,100,3,110,0.0,75
1.6,257.35,19.49,1018,94,4,170,0.0,75
3.54,408.4,21.0,1018,83,5,190,0.0,75
1.08,173.34,22.88,1018,73,5,200,0.0,40
0.0,0.0,23.41,1017,73,5,190,0.0,40
0.0,0.0,26.24,1015,57,5,210,0.0,40
0.0,0.0,26.36,1015,54,3,200,0.0,75
0.0,0.0,26.41,1015,54,4,160,0.0,20
0.0,0.0,25.63,1015,78,2,140,0.3,75
0.0,0.0,21.99,1016,78,3,120,0.0,75
0.0,0.0,21.43,1016,83,3,130,0.9,1
0.0,0.0,20.88,1016,88,4,130,0.0,1
0.0,0.0,20.57,1017,88,2,160,0.0,75
0.0,0.0,19.57,1016,94,3,150,0.0,40
0.0,0.0,19.44,1016,93,3,150,0.0,75
0.0,0.0,19.29,1015,94,3,160,0.0,90
0.25,29.91,19.43,1015,100,4,180,0.0,90
0.64,58.9,19.69,1014,100,4,170,0.0,90
1.57,183.77,19.71,1014,94,3,170,0.0,90
1.89,149.46,19.72,1014,100,3,170,0.0,90
2.45,247.82,20.0,1014,100,4,170,0.0,90
2.98,417.79,20.63,1014,100,3,180,0.0,90
2.29,207.03,21.0,1013,94,5,170,0.0,90
6.34,623.88,22.0,1014,94,8,180,0.0,75
3.86,228.23,23.12,1014,88,8,180,0.0,75
0.46,46.14,23.85,1013,83,8,200,0.0,90
0.0,0.0,25.49,1012,74,9,190,0.0,75
0.0,0.0,25.29,1009,69,7,220,3.0,75
0.0,0.0,25.29,1009,69,7,220,3.0,75
0.0,0.0,25.86,1008,65,6,200,0.3,40
0.0,0.0,23.14,1009,73,7,240,0.3,90
0.0,0.0,23.0,1009,100,4,240,0.0,75
0.0,0.0,21.63,1012,77,7,260,0.3,90
0.0,0.0,20.62,1012,100,6,270,0.0,75
0.0,0.0,19.75,1013,73,4,260,0.0,75
0.0,0.0,18.28,1014,82,3,250,0.0,20
0.0,0.0,18.0,1014,88,2,240,0.0,90
0.0,0.0,17.34,1015,88,3,230,0.0,75
0.0,0.0,17.01,1015,82,2,250,0.0,90
0.67,50.66,17.0,1015,93,3,250,0.0,75
2.37,389.57,17.0,1016,88,3,260,0.0,90
6.08,571.02,16.0,1016,87,4,280,0.0,40
