dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1514764800,2018-01-01 00:00:00 +0000 UTC,4167147,,,,290.65,290.15,291.15,1020,,,55,1,37,,,,,,,,,1,800,Clear,sky is clear,01n
1514768400,2018-01-01 01:00:00 +0000 UTC,4167147,,,,288.83,287.15,290.15,1020,,,63,1,37,,,,,,,,,1,800,Clear,sky is clear,01n
1514772000,2018-01-01 02:00:00 +0000 UTC,4167147,,,,288,284.15,290.15,1021,,,72,2,90,,,,,,,,,1,800,Clear,sky is clear,01n
1514775600,2018-01-01 03:00:00 +0000 UTC,4167147,,,,287.26,284.15,289.15,1021,,,67,3,130,,,,,,,,,1,800,Clear,sky is clear,01n
1514779200,2018-01-01 04:00:00 +0000 UTC,4167147,,,,287.44,284.15,290.15,1021,,,76,2,110,,,,,,,,,1,800,Clear,sky is clear,01n
1514782800,2018-01-01 05:00:00 +0000 UTC,4167147,,,,287.84,287.15,289.15,1021,,,82,2,37,,,,,,,,,20,801,Clouds,few clouds,02n
1514786400,2018-01-01 06:00:00 +0000 UTC,4167147,,,,287.87,286.15,289.15,1021,,,72,2,37,,,,,,,,,75,803,Clouds,broken clouds,04n
1514790000,2018-01-01 07:00:00 +0000 UTC,4167147,,,,287.72,286.15,289.15,1020,,,77,1,50,,,,,,,,,90,721,Haze,haze,50n
1514793600,2018-01-01 08:00:00 +0000 UTC,4167147,,,,288.01,287.15,289.15,1020,,,72,1,34,,,,,,,,,90,721,Haze,haze,50n
1514797200,2018-01-01 09:00:00 +0000 UTC,4167147,,,,287.72,287.15,289.15,1019,,,77,1,70,,,,,,,,,90,721,Haze,haze,50n
1514800800,2018-01-01 10:00:00 +0000 UTC,4167147,,,,287.86,287.15,289.15,1020,,,82,2,10,,,,,,,,,90,721,Haze,haze,50n
1514800800,2018-01-01 10:00:00 +0000 UTC,4167147,,,,287.86,287.15,289.15,1020,,,82,2,10,,,,,,,,,90,701,Mist,mist,50n
1514804400,2018-01-01 11:00:00 +0000 UTC,4167147,,,,288.15,287.15,289.15,1019,,,82,3,356,,,,,,,,,90,804,Clouds,overcast clouds,04n
1514808000,2018-01-01 12:00:00 +0000 UTC,4167147,,,,288.04,286.15,290.15,1020,,,87,3,356,,,,,,,,,75,701,Mist,mist,50n
1514811600,2018-01-01 13:00:00 +0000 UTC,4167147,,,,287.67,285.15,290.15,1019,,,100,1,10,,,,,,,,,90,804,Clouds,overcast clouds,04d
1514815200,2018-01-01 14:00:00 +0000 UTC,4167147,,,,288.32,286.15,290.15,1021,,,87,4,10,,,,,,,,,90,804,Clouds,overcast clouds,04d
1514818800,2018-01-01 15:00:00 +0000 UTC,4167147,,,,287.44,284.15,290.15,1022,,,93,5,10,0.9,,,,,,,,90,501,Rain,moderate rain,10d
1514818800,2018-01-01 15:00:00 +0000 UTC,4167147,,,,287.44,284.15,290.15,1022,,,93,5,10,0.9,,,,,,,,90,701,Mist,mist,50d
1514822400,2018-01-01 16:00:00 +0000 UTC,4167147,,,,287.56,284.15,292.15,1022,,,87,6,360,0.3,,,,,,,,90,701,Mist,mist,50d
1514822400,2018-01-01 16:00:00 +0000 UTC,4167147,,,,287.56,284.15,292.15,1022,,,87,6,360,0.3,,,,,,,,90,500,Rain,light rain,10d
1514826000,2018-01-01 17:00:00 +0000 UTC,4167147,,,,286.44,282.15,290.15,1022,,,93,7,360,0.3,,,,,,,,90,500,Rain,light rain,10d
1514826000,2018-01-01 17:00:00 +0000 UTC,4167147,,,,286.44,282.15,290.15,1022,,,93,7,360,0.3,,,,,,,,90,701,Mist,mist,50d
1514829600,2018-01-01 18:00:00 +0000 UTC,4167147,,,,286.73,285.15,289.15,1020,,,100,5,350,0.9,,,,,,,,90,501,Rain,moderate rain,10d
1514829600,2018-01-01 18:00:00 +0000 UTC,4167147,,,,286.73,285.15,289.15,1020,,,100,5,350,0.9,,,,,,,,90,701,Mist,mist,50d
1514833200,2018-01-01 19:00:00 +0000 UTC,4167147,,,,285.55,281.15,290.15,1019,,,100,7,340,0.3,,,,,,,,90,500,Rain,light rain,10d
1514833200,2018-01-01 19:00:00 +0000 UTC,4167147,,,,285.55,281.15,290.15,1019,,,100,7,340,0.3,,,,,,,,90,701,Mist,mist,50d
1514836800,2018-01-01 20:00:00 +0000 UTC,4167147,,,,284.82,281.15,288.15,1023,,,93,7,10,0.3,,,,,,,,90,500,Rain,light rain,10d
1514836800,2018-01-01 20:00:00 +0000 UTC,4167147,,,,284.82,281.15,288.15,1023,,,93,7,10,0.3,,,,,,,,90,701,Mist,mist,50d
